                                  column                                   match                                   label type csv grp show sort srch wdth
                "WORKSITE_POSTAL_CODE_5"                "WORKSITE_POSTAL_CODE_5"                "WORKSITE_POSTAL_CODE_5"  chr   0   0    0    0    0    0
               "WAGE_RATE_OF_PAY_FROM_5"               "WAGE_RATE_OF_PAY_FROM_5"               "WAGE_RATE_OF_PAY_FROM_5"  num   0   0    0    0    0    0
                 "WAGE_RATE_OF_PAY_TO_5"                 "WAGE_RATE_OF_PAY_TO_5"                 "WAGE_RATE_OF_PAY_TO_5"  num   0   0    0    0    0    0
                    "WAGE_UNIT_OF_PAY_5"                    "WAGE_UNIT_OF_PAY_5"                    "WAGE_UNIT_OF_PAY_5"  log   0   0    0    0    0    0
                     "PREVAILING_WAGE_5"                     "PREVAILING_WAGE_5"                     "PREVAILING_WAGE_5"  num   0   0    0    0    0    0
                      "PW_UNIT_OF_PAY_5"                      "PW_UNIT_OF_PAY_5"                      "PW_UNIT_OF_PAY_5"  log   0   0    0    0    0    0
                  "PW_TRACKING_NUMBER_5"                  "PW_TRACKING_NUMBER_5"                  "PW_TRACKING_NUMBER_5"  chr   0   0    0    0    0    0
                       "PW_WAGE_LEVEL_5"                       "PW_WAGE_LEVEL_5"                       "PW_WAGE_LEVEL_5"  chr   0   0    0    0    0    0
                         "PW_OES_YEAR_5"                         "PW_OES_YEAR_5"                         "PW_OES_YEAR_5"  num   0   0    0    0    0    0
                     "PW_OTHER_SOURCE_5"                     "PW_OTHER_SOURCE_5"                     "PW_OTHER_SOURCE_5"  chr   0   0    0    0    0    0
                     "PW_NON-OES_YEAR_5"                     "PW_NON-OES_YEAR_5"                     "PW_NON-OES_YEAR_5"  num   0   0    0    0    0    0
                 "PW_SURVEY_PUBLISHER_5"                 "PW_SURVEY_PUBLISHER_5"                 "PW_SURVEY_PUBLISHER_5"  num   0   0    0    0    0    0
                      "PW_SURVEY_NAME_5"                      "PW_SURVEY_NAME_5"                      "PW_SURVEY_NAME_5"  chr   0   0    0    0    0    0
                    "WORKSITE_WORKERS_6"                    "WORKSITE_WORKERS_6"                    "WORKSITE_WORKERS_6"  num   0   0    0    0    0    0
                    "SECONDARY_ENTITY_6"                    "SECONDARY_ENTITY_6"                    "SECONDARY_ENTITY_6"  chr   0   0    0    0    0    0
